project_name,full_test_name,source_file,augmented_source_marker,isCorrect,incorrect_type,is_mutation,mutation_iteration,model_predicted_prob,model_predicted_label_thresh0.5,rerun_consistency,prediction_time_secs,rerun_time_consume
jetcache,com.alicp.jetcache.anno.support.ConfigProvider_CacheMessagePublisher_Test.test.test,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.990789,1,1.000000,0.027678,31.022462
fastjson,com.alibaba.json.bvt.guava.ArrayListMultimapTest.test_for_multimap.test_for_multimap,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.955457,1,1.000000,0.021685,25.484430
fastjson,com.alibaba.json.bvt.issue_1100.Issue1177_2.test_for_issue.test_for_issue,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.992623,1,1.000000,0.024847,85.871465
fastjson,com.alibaba.json.bvt.issue_1400.Issue1480.test_for_issue.test_for_issue,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.991799,1,1.000000,0.025812,72.158875
fastjson,com.alibaba.json.bvt.issue_1500.Issue1584.test_for_issue.test_for_issue,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.979187,1,1.000000,0.030088,101.441165
fastjson,com.alibaba.json.bvt.writeClassName.WriteDuplicateType.test_dupType2.test_dupType2,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.969652,1,1.000000,0.029495,24.940780
incubator-shardingsphere,org.apache.shardingsphere.shardingjdbc.jdbc.core.datasource.MasterSlaveDataSourceTest.assertGetDatabaseProductName.assertGetDatabaseProductName,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.999185,1,1.000000,0.029323,31.804423
shenyu,org.apache.shenyu.admin.service.PermissionServiceTest.testGetPermissionMenu.testGetPermissionMenu,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.999910,1,1.000000,0.029328,115.260740
apollo,com.ctrip.framework.apollo.configservice.service.ReleaseMessageServiceWithCacheTest.testWhenHasReleaseMsgAndHasRepeatMsg.testWhenHasReleaseMsgAndHasRepeatMsg,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.990176,1,1.000000,0.030717,40.715794
apollo,com.ctrip.framework.apollo.internals.RemoteConfigLongPollServiceTest.testAssembleLongPollRefreshUrl.testAssembleLongPollRefreshUrl,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.001552,0,1.000000,0.030829,57.607450
apollo,com.ctrip.framework.apollo.adminservice.controller.ReleaseControllerTest.testReleaseBuild.testReleaseBuild,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.977540,1,1.000000,0.029816,126.396502
apollo,com.ctrip.framework.apollo.configservice.service.ReleaseMessageServiceWithCacheTest.testWhenReleaseMsgSizeBiggerThan500.testWhenReleaseMsgSizeBiggerThan500,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.993647,1,1.000000,0.030868,62.094354
feign,feign.mock.RequestHeadersTest.shouldPrintHeaders.shouldPrintHeaders,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.893638,1,1.000000,0.032809,17.538201
feign,feign.json.JsonEncoderTest.encodesObject.encodesObject,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.999991,1,1.000000,0.032322,35.276565
vjtools,com.vip.vjtools.vjkit.mapper.JsonMapperTest.jsonp.jsonp,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.999997,1,1.000000,0.031501,51.030856
spring-cloud-config,org.springframework.cloud.config.monitor.GiteePropertyPathNotificationExtractorTests.giteeSample.giteeSample,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.999956,1,1.000000,0.030832,19.184336
json-schema-validator,com.networknt.schema.CollectorContextTest.testCollectorContextWithKeyword.testCollectorContextWithKeyword,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.881129,1,1.000000,0.030835,36.639424
karate,com.intuit.karate.JsonUtilsTest.testBeanConversion.testBeanConversion,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.001380,0,1.000000,0.030686,29.329274
jinjava,com.hubspot.jinjava.lib.filter.ListFilterTest.itConvertsSetsToLists.itConvertsSetsToLists,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.999994,1,1.000000,0.031526,40.028518
hertzbeat,org.dromara.hertzbeat.collector.util.CollectUtilTest.replaceSmilingPlaceholder.replaceSmilingPlaceholder,flaky_doctor_131_gpt_fixed_checked_labeled_time.csv,flakydoctor_original,1,NaN,False,NaN,0.992875,1,1.000000,0.034305,80.015703
